Name;Address;Phone number
Decleor de Beaut'e;Westbahnstraße 6, 1070 Wien;+43 1 5238305
Deniz Beauty KG;Rotenhofgasse 19/3-4, 1100 Wien;+43 1 2861839
Dermalounge Cosmetics OG;Antonie-Alt-Gasse 16/2/Top 1, 1100 Wien;+43 664 1548088
die Wiener - beauty-wellness-lifestyle;Auhofstraße 60/13, 1130 Wien;+43 699 11049865
Diva Beauty Lounge e.U.;Thaliastraße 148, 1160 Wien;+43 676 7031309
Divovic Sanela;Schottengasse 7/5, 1010 Wien;+43 1 2361336
dm drogerie markt GmbH;Hütteldorfer Straße 119, 1140 Wien;+43 1 9827473
Dobner Ingeborg;Mohsgasse 12/Top 5, 1030 Wien;+43 664 2243329
DOT.j beauty GmbH;Salesianergasse 24/Top 2, 1030 Wien;+43 676 5705575
Du bist schön - Naturkosmetik und Wellnessstudio;Neustiftgasse 14/2/I, 1070 Wien;+43 699 11126563
E.K.A.D. Kosmetiksalon;Meytensgasse 4, 1130 Wien;+43 1 8766365
E.K.A.D. Kosmetiksalon;Sibeliusstraße 5-9, 1100 Wien;+43 1 6159990
ECOSPA GmbH;Parkring 12a, 1010 Wien;+43 1 5129564
Eichler Bettina - Kosmetik Fußpflege;Skodagasse 23, 1080 Wien;+43 1 4057686
ENERGO Konstruktion Bau u. Kosmetikstudio KG;Hütteldorfer Straße 81a/2, 1150 Wien;+43 1 7865848
Envy Studio;Westbahnstraße 41, 1070 Wien;+43 676 4324661
ESTEL Haarkosmetik GmbH;Parkring 10, 1010 Wien;+43 1 8906740
ESTHETIQUE by Manuela Morawetz;Judengasse 7, 1010 Wien;+43 699 11919502
ESZTER NAILS e.U.;Nußdorfer Straße 76, 1090 Wien;
et.voilá Nageldesign e.U.;Ramperstorffergasse 2, 1050 Wien;
face & body Kosmetik;Ungargasse 2, 1030 Wien;+43 1 7105627
Face to Face Cosmetics e.U.;Fleischmarkt 16/1/1.DG/Top W, 1010 Wien;+43 676 4733866
fast waxing - Gesund & Schön Beautysalon;Kalvarienberggasse 70, 1170 Wien;+43 660 5081949
feel your skin - Kosmetikinstitut - Brigitta Welz;Budaugasse 51, 1220 Wien;+43 664 1746705
Fontaine de Jouvence - Kosmetik;Alser Straße 37/14, 1080 Wien;+43 1 3366060
Forever Beautiful Cosmetics;Nikolaigasse 1, 1010 Wien;+43 676 4529948
Forever Beautiful Cosmetics e.U.;Nikolaigasse 1/1, 1010 Wien;
Forever Hairfree;Simmeringer Hauptstraße 127, 1110 Wien;+43 660 1238007
Forever Hairfree;Rinnböckstraße 24, 1110 Wien;+43 660 1238007
FS First Skinlab GesmbH;Hütteldorfer Straße 195/Top 5, 1140 Wien;+43 1 5350513
Fußpflege- und Kosmetikinstitut Elisabet Zischka;Eibengasse 59, 1220 Wien;+43 1 2850440
Gassner Marisa;Ottakringer Straße 9-13, 1170 Wien;+43 1 4087953
Gino's Beauty Salon;Lederergasse 14, 1080 Wien;+43 676 5645358
Glamour Schönheitsinstitut;Lainzer Straße 23, 1130 Wien;+43 660 6808615
Glanz Nicole;Antonie-Alt-Gasse 8/3, Tür 4, 1100 Wien;
Goldoni Karla;Florianigasse 58/2, 1080 Wien;+43 676 5578638
Graser Martina;Siebensterngasse 33, 1070 Wien;+43 1 5243933
green door Nina Kiessling;Schwedenplatz 2/6/52, 1010 Wien;+43 676 7002485
GREENWAY-NATURKOSMETIK Isabella Zimmermann;Penzinger Straße 61, 1140 Wien;+43 660 2895911
Grün Claudia;Gottschalkgasse 7, 1110 Wien;+43 1 7436789
Guerlain Spa im The Ritz-Carlton Vienna;Schubertring 5-7, 1010 Wien;+43 1 31188
Hairless;Wiedner Hauptstraße 37/1, 1040 Wien;+43 1 5047017
Hansekowitz Marie Kosmetikstudio;Heiligenstädter Straße 131-135 / 3 / 66, 1190 Wien;+43 664 5254259
Haugeneder Nadja;Tokiostraße 10/2/22, 1220 Wien;
HAUTFREUND Doris Kraak;Plankengasse 1/11, 1010 Wien;+43 664 2410513
Hautgefühl KG;Invalidenstraße 11, 1030 Wien;+43 660 8598718
HAUTnah Medical Spa;Lindengasse 31-33, 1070 Wien;+43 664 5257337
Health Aesthetic Center GmbH;Kupelwiesergasse 27/1, 1130 Wien;+43 1 2284550
Heitzer Sarah;Alma-Rose-Gasse 2/Top 4, 1100 Wien;
HK Beaute e.U.;Ferrogasse 23/22, 1180 Wien;
Home of Beauty;Stiftgasse 18, 1070 Wien;+43 1 5224080
Hrdina Julia - Haare & Make-up - Visagistin;Burggasse 130, 1070 Wien;+43 650 2657646
HS Makeup Helga Steiner;Holochergasse 20/Top 9-10, 1150 Wien;+43 699 18416036
Ihr dm Kosmetik Studio;Wiedner Hauptstraße 70, 1040 Wien;+43 1 5876694-15
Ihr dm Kosmetik Studio;Mariahilfer Straße 89a, 1060 Wien;+43 1 5861737-15
Ihr dm Kosmetik Studio;Simmeringer Hauptstraße 96a Zentrum Simmering Top 19, 1110 Wien;+43 1 7487112-12
Ihr dm Kosmetik Studio;Thaliastraße 98-100, 1160 Wien;+43 1 4854768-12
Ihr dm Kosmetik Studio;Elterleinplatz 6, 1170 Wien;+43 1 4087580-12
Ihr dm Kosmetik Studio;Taborstraße 25, 1020 Wien;+43 1 2144705-15
Ihr dm Kosmetik Studio;Landstraßer Hauptstraße 97-101, 1030 Wien;+43 1 7129852-12
Ihr dm Kosmetik Studio;Wagramer Straße 81/Top 145 Donau Zentrum, 1210 Wien;+43 1 2037133-12
Ihr dm Kosmetik Studio;Hietzinger Hauptstraße 15, 1130 Wien;+43 1 8773210-12
Ihr dm Kosmetik Studio;Sandleitengasse 41, 1160 Wien;+43 1 4892744-12
Ihr dm Kosmetik Studio;Leopoldauer Straße 26-32, 1210 Wien;+43 1 2716524-12
Ihr dm Kosmetik Studio;Landwehrstraße 6 huma eleven, 1110 Wien;+43 1 7670593-12
Ihr dm Kosmetik Studio;Währinger Straße 103, 1180 Wien;+43 1 4058907-12
Ihr dm Kosmetik Studio;Albert-Schweitzer-Gasse 6a Auhofcenter, 1140 Wien;+43 1 5771819-12
Ihr dm Kosmetik Studio;Julius-Tandler-Platz 8, 1090 Wien;+43 1 3175587-12
Ihr dm Kosmetik Studio;Hütteldorfer Straße 81b Meiselmarkt, 1150 Wien;+43 1 7864266-12
Ihr dm Kosmetik Studio;Gewerbeparkstraße 21, 1220 Wien;+43 1 7342585-12
Ihr dm Kosmetik Studio;Favoritenstraße 130, 1100 Wien;+43 1 6044330-12
Ihr dm Kosmetik Studio;Landstraßer Hauptstraße 2a, 1030 Wien;+43 1 7145166
Ihr dm Kosmetik Studio;Stadion Center Olympiaplatz 2, 1020 Wien;+43 1 7265124-12
IKOS Ganzheitskosmetik GmbH;Lemböckgasse 47A, 1230 Wien;+43 699 15237503
Institut A Natural Difference - Kosmetikbehandlungen u Produkte, Anti Aging u Problemhaut;Windmühlgasse 20/ Top 57 Im Raimundhof, 1060 Wien;+43 699 15028408
Invitapoint im Beauty & More Studio;Dr.-Adolf-Schärf-Platz 4 - im Club Danube Donauzentrum, 1220 Wien;+43 664 4615210
Jovkic-Petkovic Sanela;Wielandgasse 5/6, 1100 Wien;
Kainz Ratha;Seitenstettengasse 5, 1010 Wien;+43 660 5579966
Kamann Viktoria Elisabeth;Anton-Frank-Gasse 7, 1180 Wien;
Kameliya Milosheva;Liechtensteinstraße 62, 1090 Wien;
Kameliya Professional KG;Liechtensteinstraße 62/1, 1090 Wien;+43 660 5499193
Katsiaryna Bukharieva, BSc;Leibnizgasse 62/11, 1100 Wien;
Khirkhash Shoaa;Meidlinger Hauptstraße 78/1, 1120 Wien;
KIRA KENNING Institut f Medizinische Kosmetik;Rotenturmstraße 17, 1010 Wien;+43 1 5321005
kirschundkern;Barawitzkagasse 8/17, 1190 Wien;+43 676 9605556
Kleedorfer Silvia;Marinonigasse 42, 1210 Wien;+43 1 2909530
KLEOPATRA Kosmetiksalon f. Männer u Frauen- Mag.Olga Rubanova;Herrengasse 8/2(im Hof)/Tür  5, 1010 Wien;+43 1 5350690
Kmak-Kaczmarczyk Klaudia Bernadeta;Krichbaumgasse 12/9, 1120 Wien;
Kolmer Maike;Gebrüder-Lang-Gasse 15/14, 1150 Wien;+43 676 5325775
Kosmetik & Meer Zeiler Sonja;Rotenhofgasse 14, 1100 Wien;+43 664 2155578
Kosmetik Amalienbad;Reumannplatz 23, 1100 Wien;+43 1 6021280
Kosmetik Christine;Anton-Bosch-Gasse 3-5/1, 1210 Wien;+43 1 2722265
KOSMETIK FESSTGASSE;Feßtgasse 6/21, 1160 Wien;+43 681 10399050
Kosmetik Fußpflege Gabriela;Strobachgasse 11, 1050 Wien;+43 1 5869563
Kosmetik Helene;Brünner Straße 41, 1210 Wien;+43 1 2706262
